"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 22 08:20:23 GMT 2024","Wed May 22 08:20:31 GMT 2024","8709","chromium-report-en","report-pagenavi.spec.js","","","","Check on-page navigation",""
"passed","Wed May 22 08:19:42 GMT 2024","Wed May 22 08:19:46 GMT 2024","4958","chromium-report-fi","report-data.spec.js","","","","Check the vehicle data values",""
"passed","Wed May 22 08:20:09 GMT 2024","Wed May 22 08:20:15 GMT 2024","5108","chromium-report-en","report-data.spec.js","","","","Check the vehicle data values",""
"passed","Wed May 22 08:19:46 GMT 2024","Wed May 22 08:19:50 GMT 2024","3969","chromium-report-fi","report-pagenavi.spec.js","","","","Check the page title",""
"passed","Wed May 22 08:20:18 GMT 2024","Wed May 22 08:20:23 GMT 2024","4174","chromium-report-en","report-pagenavi.spec.js","","","","Check the registration number",""
"passed","Wed May 22 08:19:54 GMT 2024","Wed May 22 08:20:04 GMT 2024","10150","chromium-report-fi","report-pagenavi.spec.js","","","","Check on-page navigation",""
"skipped","Wed May 22 08:20:05 GMT 2024","Wed May 22 08:20:09 GMT 2024","4178","chromium-report-en","report-data.spec.js","","","","Check the owner data values",""
"passed","Wed May 22 08:19:50 GMT 2024","Wed May 22 08:19:54 GMT 2024","3877","chromium-report-fi","report-pagenavi.spec.js","","","","Check the registration number",""
"passed","Wed May 22 08:19:35 GMT 2024","Wed May 22 08:19:42 GMT 2024","6217","chromium-report-fi","report-data.spec.js","","","","Check the owner data values",""
"passed","Wed May 22 08:20:15 GMT 2024","Wed May 22 08:20:18 GMT 2024","3922","chromium-report-en","report-pagenavi.spec.js","","","","Check the page title",""
